WHITE_USERNAME,WHITE_ELO,WHITE_RESULT,WHITE_ACCURACY,BLACK_USERNAME,BLACK_ELO,BLACK_RESULT,BLACK_ACCURACY,TIME_CONTROL,TIME_CLASS,DATE_TIME,RATED,OPENING
GoltsevDmitry2000,2924,checkmated,68.71,MagnusCarlsen,3313,win,76.8,180+1,blitz,2025-08-19T15:28:46,True,Kings Pawn Opening Hippopotamus Defense 2.d4
MagnusCarlsen,3315,win,94.97,vovachesss,2955,checkmated,89.9,180+1,blitz,2025-08-19T15:38:06,True,Kings Indian Attack 2...Nd7
Sam_ChessMood,3033,timeout,76.41,MagnusCarlsen,3318,win,80.62,180+1,blitz,2025-08-19T15:54:33,True,Queens Pawn Opening
MagnusCarlsen,3321,win,84.28,wonderfultime,3054,resigned,75.14,180+1,blitz,2025-08-19T16:01:45,True,Undefined
rezamahdavi2008,2999,resigned,86.73,MagnusCarlsen,3323,win,92.49,180+1,blitz,2025-08-19T16:14:27,True,French Defense Advance Wade Variation 6.Be2 cxd4 7.cxd4 Bb5
mishanick,3134,insufficient,97.75,MagnusCarlsen,3319,insufficient,98.02,180+1,blitz,2025-08-19T16:26:40,True,Nimzowitsch Defense Declined Williams Variation...6.Be3 O-O 7.Qd2 e5
MagnusCarlsen,3329,win,96.44,Hikaru,3381,resigned,92.41,180+1,blitz,2025-08-19T16:42:07,True,Polish Opening Bugayev Attack 2...d5 3.Bb2 Bd6
GHANDEEVAM2003,3129,resigned,75.49,MagnusCarlsen,3333,win,85.86,180+1,blitz,2025-08-19T16:47:48,True,Queens Pawn Opening Chigorin Variation...4.Bf4 Bg7 5.Qd2 O-O 6.Bh6
MagnusCarlsen,3338,win,93.59,lachesisQ,3198,timeout,88.26,180+1,blitz,2025-08-19T17:02:07,True,Reti Opening Sicilian Invitation...3.e3 Nf6 4.Bb2 g6
djano,2604,resigned,80.61,MagnusCarlsen,3338,win,91.96,180+1,blitz,2025-08-19T20:07:04,True,Caro Kann Defense De Bruycker Defense
